Barangay_No,Barangay,x,y,Year,Month,Dengue Cases,Temperature,Humidity,Rainfall,Predicted Cases (Hybrid)
0,ABUNO,8.1846,124.2571,2011,1,0,23.8,88.1,7.0,
1,ACMAC,8.274,124.2649,2011,1,0,23.8,88.1,7.0,
2,BAGONG SILANG,8.2418,124.252,2011,1,0,23.8,88.1,7.0,
3,BONBONON,8.2667,124.2902,2011,1,0,23.8,88.1,7.0,
4,BUNAWAN,8.3023,124.3028,2011,1,0,23.8,88.1,7.0,
5,BURU-UN,8.1872,124.1688,2011,1,1,23.8,88.1,7.0,
6,DALIPUGA,8.3074,124.255,2011,1,1,23.8,88.1,7.0,
7,DEL CARMEN,8.2322,124.2578,2011,1,1,23.8,88.1,7.0,
8,DIGKILAAN,8.2492,124.3178,2011,1,0,23.8,88.1,7.0,
9,DITUCALAN,8.1751,124.1927,2011,1,1,23.8,88.1,7.0,
10,DULAG,8.204,124.3694,2011,1,0,23.8,88.1,7.0,
11,HINAPLANON,8.2467,124.2592,2011,1,0,23.8,88.1,7.0,
12,HINDANG,8.3177,124.3457,2011,1,0,23.8,88.1,7.0,
13,KABACSANAN,8.2815,124.3088,2011,1,0,23.8,88.1,7.0,
14,KALILANGAN,8.1747,124.3863,2011,1,0,23.8,88.1,7.0,
15,KIWALAN,8.2801,124.2668,2011,1,0,23.8,88.1,7.0,
16,LANIPAO,8.2266,124.3412,2011,1,0,23.8,88.1,7.0,
17,LUINAB,8.2472,124.2681,2011,1,0,23.8,88.1,7.0,
18,MAHAYAHAY,8.2219,124.2406,2011,1,0,23.8,88.1,7.0,
19,MAINIT,8.2976,124.3876,2011,1,0,23.8,88.1,7.0,
20,MANDULOG,8.2442,124.3057,2011,1,0,23.8,88.1,7.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,1,0,23.8,88.1,7.0,
22,PALAO,8.2286,124.2532,2011,1,1,23.8,88.1,7.0,
23,PANOROGANAN,8.1743,124.425,2011,1,0,23.8,88.1,7.0,
24,POBLACION,8.2285,124.2344,2011,1,5,23.8,88.1,7.0,
25,PUGA-AN,8.2285,124.2742,2011,1,0,23.8,88.1,7.0,
26,ROGONGON,8.2395,124.4115,2011,1,0,23.8,88.1,7.0,
27,SAN MIGUEL,8.2387,124.2479,2011,1,3,23.8,88.1,7.0,
28,SAN ROQUE,8.2578,124.2619,2011,1,0,23.8,88.1,7.0,
29,SANTA ELENA,8.1948,124.2273,2011,1,0,23.8,88.1,7.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,1,0,23.8,88.1,7.0,
31,SANTIAGO,8.2511,124.2444,2011,1,0,23.8,88.1,7.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,1,0,23.8,88.1,7.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,1,0,23.8,88.1,7.0,
34,SUAREZ,8.1914,124.2173,2011,1,2,23.8,88.1,7.0,
35,TAMBACAN,8.2236,124.2347,2011,1,4,23.8,88.1,7.0,
36,TIBANGA,8.2402,124.241,2011,1,1,23.8,88.1,7.0,
37,TIPANOY,8.1902,124.2634,2011,1,1,23.8,88.1,7.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,1,0,23.8,88.1,7.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,1,0,23.8,88.1,7.0,
40,TUBOD,8.2117,124.241,2011,1,0,23.8,88.1,7.0,
41,UBALDO LAYA,8.224,124.2449,2011,1,2,23.8,88.1,7.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,1,0,23.8,88.1,7.0,
43,VILLA VERDE,8.2331,124.2437,2011,1,1,23.8,88.1,7.0,
0,ABUNO,8.1846,124.2571,2011,2,0,24.1,87.2,12.0,
1,ACMAC,8.274,124.2649,2011,2,1,24.1,87.2,12.0,
2,BAGONG SILANG,8.2418,124.252,2011,2,1,24.1,87.2,12.0,
3,BONBONON,8.2667,124.2902,2011,2,0,24.1,87.2,12.0,
4,BUNAWAN,8.3023,124.3028,2011,2,0,24.1,87.2,12.0,
5,BURU-UN,8.1872,124.1688,2011,2,1,24.1,87.2,12.0,
6,DALIPUGA,8.3074,124.255,2011,2,0,24.1,87.2,12.0,
7,DEL CARMEN,8.2322,124.2578,2011,2,0,24.1,87.2,12.0,
8,DIGKILAAN,8.2492,124.3178,2011,2,1,24.1,87.2,12.0,
9,DITUCALAN,8.1751,124.1927,2011,2,1,24.1,87.2,12.0,
10,DULAG,8.204,124.3694,2011,2,0,24.1,87.2,12.0,
11,HINAPLANON,8.2467,124.2592,2011,2,0,24.1,87.2,12.0,
12,HINDANG,8.3177,124.3457,2011,2,0,24.1,87.2,12.0,
13,KABACSANAN,8.2815,124.3088,2011,2,0,24.1,87.2,12.0,
14,KALILANGAN,8.1747,124.3863,2011,2,0,24.1,87.2,12.0,
15,KIWALAN,8.2801,124.2668,2011,2,0,24.1,87.2,12.0,
16,LANIPAO,8.2266,124.3412,2011,2,0,24.1,87.2,12.0,
17,LUINAB,8.2472,124.2681,2011,2,1,24.1,87.2,12.0,
18,MAHAYAHAY,8.2219,124.2406,2011,2,0,24.1,87.2,12.0,
19,MAINIT,8.2976,124.3876,2011,2,0,24.1,87.2,12.0,
20,MANDULOG,8.2442,124.3057,2011,2,0,24.1,87.2,12.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,2,1,24.1,87.2,12.0,
22,PALAO,8.2286,124.2532,2011,2,1,24.1,87.2,12.0,
23,PANOROGANAN,8.1743,124.425,2011,2,0,24.1,87.2,12.0,
24,POBLACION,8.2285,124.2344,2011,2,4,24.1,87.2,12.0,
25,PUGA-AN,8.2285,124.2742,2011,2,0,24.1,87.2,12.0,
26,ROGONGON,8.2395,124.4115,2011,2,0,24.1,87.2,12.0,
27,SAN MIGUEL,8.2387,124.2479,2011,2,0,24.1,87.2,12.0,
28,SAN ROQUE,8.2578,124.2619,2011,2,0,24.1,87.2,12.0,
29,SANTA ELENA,8.1948,124.2273,2011,2,0,24.1,87.2,12.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,2,1,24.1,87.2,12.0,
31,SANTIAGO,8.2511,124.2444,2011,2,1,24.1,87.2,12.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,2,1,24.1,87.2,12.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,2,0,24.1,87.2,12.0,
34,SUAREZ,8.1914,124.2173,2011,2,1,24.1,87.2,12.0,
35,TAMBACAN,8.2236,124.2347,2011,2,3,24.1,87.2,12.0,
36,TIBANGA,8.2402,124.241,2011,2,2,24.1,87.2,12.0,
37,TIPANOY,8.1902,124.2634,2011,2,1,24.1,87.2,12.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,2,0,24.1,87.2,12.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,2,1,24.1,87.2,12.0,
40,TUBOD,8.2117,124.241,2011,2,2,24.1,87.2,12.0,
41,UBALDO LAYA,8.224,124.2449,2011,2,1,24.1,87.2,12.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,2,0,24.1,87.2,12.0,
43,VILLA VERDE,8.2331,124.2437,2011,2,1,24.1,87.2,12.0,
0,ABUNO,8.1846,124.2571,2011,3,1,25.3,85.5,20.0,
1,ACMAC,8.274,124.2649,2011,3,0,25.3,85.5,20.0,
2,BAGONG SILANG,8.2418,124.252,2011,3,0,25.3,85.5,20.0,
3,BONBONON,8.2667,124.2902,2011,3,0,25.3,85.5,20.0,
4,BUNAWAN,8.3023,124.3028,2011,3,0,25.3,85.5,20.0,
5,BURU-UN,8.1872,124.1688,2011,3,0,25.3,85.5,20.0,
6,DALIPUGA,8.3074,124.255,2011,3,0,25.3,85.5,20.0,
7,DEL CARMEN,8.2322,124.2578,2011,3,0,25.3,85.5,20.0,
8,DIGKILAAN,8.2492,124.3178,2011,3,1,25.3,85.5,20.0,
9,DITUCALAN,8.1751,124.1927,2011,3,0,25.3,85.5,20.0,
10,DULAG,8.204,124.3694,2011,3,0,25.3,85.5,20.0,
11,HINAPLANON,8.2467,124.2592,2011,3,0,25.3,85.5,20.0,
12,HINDANG,8.3177,124.3457,2011,3,0,25.3,85.5,20.0,
13,KABACSANAN,8.2815,124.3088,2011,3,0,25.3,85.5,20.0,
14,KALILANGAN,8.1747,124.3863,2011,3,0,25.3,85.5,20.0,
15,KIWALAN,8.2801,124.2668,2011,3,0,25.3,85.5,20.0,
16,LANIPAO,8.2266,124.3412,2011,3,0,25.3,85.5,20.0,
17,LUINAB,8.2472,124.2681,2011,3,0,25.3,85.5,20.0,
18,MAHAYAHAY,8.2219,124.2406,2011,3,2,25.3,85.5,20.0,
19,MAINIT,8.2976,124.3876,2011,3,0,25.3,85.5,20.0,
20,MANDULOG,8.2442,124.3057,2011,3,0,25.3,85.5,20.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,3,0,25.3,85.5,20.0,
22,PALAO,8.2286,124.2532,2011,3,0,25.3,85.5,20.0,
23,PANOROGANAN,8.1743,124.425,2011,3,0,25.3,85.5,20.0,
24,POBLACION,8.2285,124.2344,2011,3,1,25.3,85.5,20.0,
25,PUGA-AN,8.2285,124.2742,2011,3,0,25.3,85.5,20.0,
26,ROGONGON,8.2395,124.4115,2011,3,0,25.3,85.5,20.0,
27,SAN MIGUEL,8.2387,124.2479,2011,3,0,25.3,85.5,20.0,
28,SAN ROQUE,8.2578,124.2619,2011,3,0,25.3,85.5,20.0,
29,SANTA ELENA,8.1948,124.2273,2011,3,0,25.3,85.5,20.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,3,0,25.3,85.5,20.0,
31,SANTIAGO,8.2511,124.2444,2011,3,2,25.3,85.5,20.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,3,2,25.3,85.5,20.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,3,0,25.3,85.5,20.0,
34,SUAREZ,8.1914,124.2173,2011,3,1,25.3,85.5,20.0,
35,TAMBACAN,8.2236,124.2347,2011,3,2,25.3,85.5,20.0,
36,TIBANGA,8.2402,124.241,2011,3,2,25.3,85.5,20.0,
37,TIPANOY,8.1902,124.2634,2011,3,0,25.3,85.5,20.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,3,0,25.3,85.5,20.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,3,0,25.3,85.5,20.0,
40,TUBOD,8.2117,124.241,2011,3,2,25.3,85.5,20.0,
41,UBALDO LAYA,8.224,124.2449,2011,3,3,25.3,85.5,20.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,3,0,25.3,85.5,20.0,
43,VILLA VERDE,8.2331,124.2437,2011,3,0,25.3,85.5,20.0,
0,ABUNO,8.1846,124.2571,2011,4,0,26.0,83.1,35.0,
1,ACMAC,8.274,124.2649,2011,4,0,26.0,83.1,35.0,
2,BAGONG SILANG,8.2418,124.252,2011,4,0,26.0,83.1,35.0,
3,BONBONON,8.2667,124.2902,2011,4,0,26.0,83.1,35.0,
4,BUNAWAN,8.3023,124.3028,2011,4,0,26.0,83.1,35.0,
5,BURU-UN,8.1872,124.1688,2011,4,1,26.0,83.1,35.0,
6,DALIPUGA,8.3074,124.255,2011,4,0,26.0,83.1,35.0,
7,DEL CARMEN,8.2322,124.2578,2011,4,1,26.0,83.1,35.0,
8,DIGKILAAN,8.2492,124.3178,2011,4,0,26.0,83.1,35.0,
9,DITUCALAN,8.1751,124.1927,2011,4,0,26.0,83.1,35.0,
10,DULAG,8.204,124.3694,2011,4,0,26.0,83.1,35.0,
11,HINAPLANON,8.2467,124.2592,2011,4,0,26.0,83.1,35.0,
12,HINDANG,8.3177,124.3457,2011,4,0,26.0,83.1,35.0,
13,KABACSANAN,8.2815,124.3088,2011,4,0,26.0,83.1,35.0,
14,KALILANGAN,8.1747,124.3863,2011,4,0,26.0,83.1,35.0,
15,KIWALAN,8.2801,124.2668,2011,4,0,26.0,83.1,35.0,
16,LANIPAO,8.2266,124.3412,2011,4,0,26.0,83.1,35.0,
17,LUINAB,8.2472,124.2681,2011,4,0,26.0,83.1,35.0,
18,MAHAYAHAY,8.2219,124.2406,2011,4,0,26.0,83.1,35.0,
19,MAINIT,8.2976,124.3876,2011,4,0,26.0,83.1,35.0,
20,MANDULOG,8.2442,124.3057,2011,4,0,26.0,83.1,35.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,4,0,26.0,83.1,35.0,
22,PALAO,8.2286,124.2532,2011,4,2,26.0,83.1,35.0,
23,PANOROGANAN,8.1743,124.425,2011,4,0,26.0,83.1,35.0,
24,POBLACION,8.2285,124.2344,2011,4,0,26.0,83.1,35.0,
25,PUGA-AN,8.2285,124.2742,2011,4,0,26.0,83.1,35.0,
26,ROGONGON,8.2395,124.4115,2011,4,0,26.0,83.1,35.0,
27,SAN MIGUEL,8.2387,124.2479,2011,4,0,26.0,83.1,35.0,
28,SAN ROQUE,8.2578,124.2619,2011,4,0,26.0,83.1,35.0,
29,SANTA ELENA,8.1948,124.2273,2011,4,0,26.0,83.1,35.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,4,0,26.0,83.1,35.0,
31,SANTIAGO,8.2511,124.2444,2011,4,0,26.0,83.1,35.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,4,0,26.0,83.1,35.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,4,1,26.0,83.1,35.0,
34,SUAREZ,8.1914,124.2173,2011,4,0,26.0,83.1,35.0,
35,TAMBACAN,8.2236,124.2347,2011,4,1,26.0,83.1,35.0,
36,TIBANGA,8.2402,124.241,2011,4,0,26.0,83.1,35.0,
37,TIPANOY,8.1902,124.2634,2011,4,0,26.0,83.1,35.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,4,0,26.0,83.1,35.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,4,0,26.0,83.1,35.0,
40,TUBOD,8.2117,124.241,2011,4,1,26.0,83.1,35.0,
41,UBALDO LAYA,8.224,124.2449,2011,4,0,26.0,83.1,35.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,4,0,26.0,83.1,35.0,
43,VILLA VERDE,8.2331,124.2437,2011,4,0,26.0,83.1,35.0,
0,ABUNO,8.1846,124.2571,2011,5,0,27.2,81.9,55.0,
1,ACMAC,8.274,124.2649,2011,5,0,27.2,81.9,55.0,
2,BAGONG SILANG,8.2418,124.252,2011,5,0,27.2,81.9,55.0,
3,BONBONON,8.2667,124.2902,2011,5,0,27.2,81.9,55.0,
4,BUNAWAN,8.3023,124.3028,2011,5,0,27.2,81.9,55.0,
5,BURU-UN,8.1872,124.1688,2011,5,0,27.2,81.9,55.0,
6,DALIPUGA,8.3074,124.255,2011,5,0,27.2,81.9,55.0,
7,DEL CARMEN,8.2322,124.2578,2011,5,0,27.2,81.9,55.0,
8,DIGKILAAN,8.2492,124.3178,2011,5,0,27.2,81.9,55.0,
9,DITUCALAN,8.1751,124.1927,2011,5,0,27.2,81.9,55.0,
10,DULAG,8.204,124.3694,2011,5,0,27.2,81.9,55.0,
11,HINAPLANON,8.2467,124.2592,2011,5,0,27.2,81.9,55.0,
12,HINDANG,8.3177,124.3457,2011,5,0,27.2,81.9,55.0,
13,KABACSANAN,8.2815,124.3088,2011,5,0,27.2,81.9,55.0,
14,KALILANGAN,8.1747,124.3863,2011,5,0,27.2,81.9,55.0,
15,KIWALAN,8.2801,124.2668,2011,5,0,27.2,81.9,55.0,
16,LANIPAO,8.2266,124.3412,2011,5,0,27.2,81.9,55.0,
17,LUINAB,8.2472,124.2681,2011,5,0,27.2,81.9,55.0,
18,MAHAYAHAY,8.2219,124.2406,2011,5,0,27.2,81.9,55.0,
19,MAINIT,8.2976,124.3876,2011,5,0,27.2,81.9,55.0,
20,MANDULOG,8.2442,124.3057,2011,5,0,27.2,81.9,55.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,5,0,27.2,81.9,55.0,
22,PALAO,8.2286,124.2532,2011,5,0,27.2,81.9,55.0,
23,PANOROGANAN,8.1743,124.425,2011,5,0,27.2,81.9,55.0,
24,POBLACION,8.2285,124.2344,2011,5,2,27.2,81.9,55.0,
25,PUGA-AN,8.2285,124.2742,2011,5,0,27.2,81.9,55.0,
26,ROGONGON,8.2395,124.4115,2011,5,0,27.2,81.9,55.0,
27,SAN MIGUEL,8.2387,124.2479,2011,5,0,27.2,81.9,55.0,
28,SAN ROQUE,8.2578,124.2619,2011,5,0,27.2,81.9,55.0,
29,SANTA ELENA,8.1948,124.2273,2011,5,0,27.2,81.9,55.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,5,0,27.2,81.9,55.0,
31,SANTIAGO,8.2511,124.2444,2011,5,1,27.2,81.9,55.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,5,0,27.2,81.9,55.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,5,0,27.2,81.9,55.0,
34,SUAREZ,8.1914,124.2173,2011,5,1,27.2,81.9,55.0,
35,TAMBACAN,8.2236,124.2347,2011,5,0,27.2,81.9,55.0,
36,TIBANGA,8.2402,124.241,2011,5,0,27.2,81.9,55.0,
37,TIPANOY,8.1902,124.2634,2011,5,0,27.2,81.9,55.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,5,0,27.2,81.9,55.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,5,0,27.2,81.9,55.0,
40,TUBOD,8.2117,124.241,2011,5,3,27.2,81.9,55.0,
41,UBALDO LAYA,8.224,124.2449,2011,5,2,27.2,81.9,55.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,5,0,27.2,81.9,55.0,
43,VILLA VERDE,8.2331,124.2437,2011,5,0,27.2,81.9,55.0,
0,ABUNO,8.1846,124.2571,2011,6,0,26.4,83.5,90.0,
1,ACMAC,8.274,124.2649,2011,6,0,26.4,83.5,90.0,
2,BAGONG SILANG,8.2418,124.252,2011,6,0,26.4,83.5,90.0,
3,BONBONON,8.2667,124.2902,2011,6,0,26.4,83.5,90.0,
4,BUNAWAN,8.3023,124.3028,2011,6,0,26.4,83.5,90.0,
5,BURU-UN,8.1872,124.1688,2011,6,0,26.4,83.5,90.0,
6,DALIPUGA,8.3074,124.255,2011,6,0,26.4,83.5,90.0,
7,DEL CARMEN,8.2322,124.2578,2011,6,1,26.4,83.5,90.0,
8,DIGKILAAN,8.2492,124.3178,2011,6,0,26.4,83.5,90.0,
9,DITUCALAN,8.1751,124.1927,2011,6,0,26.4,83.5,90.0,
10,DULAG,8.204,124.3694,2011,6,0,26.4,83.5,90.0,
11,HINAPLANON,8.2467,124.2592,2011,6,0,26.4,83.5,90.0,
12,HINDANG,8.3177,124.3457,2011,6,0,26.4,83.5,90.0,
13,KABACSANAN,8.2815,124.3088,2011,6,1,26.4,83.5,90.0,
14,KALILANGAN,8.1747,124.3863,2011,6,0,26.4,83.5,90.0,
15,KIWALAN,8.2801,124.2668,2011,6,0,26.4,83.5,90.0,
16,LANIPAO,8.2266,124.3412,2011,6,0,26.4,83.5,90.0,
17,LUINAB,8.2472,124.2681,2011,6,0,26.4,83.5,90.0,
18,MAHAYAHAY,8.2219,124.2406,2011,6,0,26.4,83.5,90.0,
19,MAINIT,8.2976,124.3876,2011,6,0,26.4,83.5,90.0,
20,MANDULOG,8.2442,124.3057,2011,6,0,26.4,83.5,90.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,6,0,26.4,83.5,90.0,
22,PALAO,8.2286,124.2532,2011,6,0,26.4,83.5,90.0,
23,PANOROGANAN,8.1743,124.425,2011,6,0,26.4,83.5,90.0,
24,POBLACION,8.2285,124.2344,2011,6,0,26.4,83.5,90.0,
25,PUGA-AN,8.2285,124.2742,2011,6,0,26.4,83.5,90.0,
26,ROGONGON,8.2395,124.4115,2011,6,0,26.4,83.5,90.0,
27,SAN MIGUEL,8.2387,124.2479,2011,6,0,26.4,83.5,90.0,
28,SAN ROQUE,8.2578,124.2619,2011,6,0,26.4,83.5,90.0,
29,SANTA ELENA,8.1948,124.2273,2011,6,0,26.4,83.5,90.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,6,0,26.4,83.5,90.0,
31,SANTIAGO,8.2511,124.2444,2011,6,0,26.4,83.5,90.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,6,0,26.4,83.5,90.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,6,0,26.4,83.5,90.0,
34,SUAREZ,8.1914,124.2173,2011,6,0,26.4,83.5,90.0,
35,TAMBACAN,8.2236,124.2347,2011,6,2,26.4,83.5,90.0,
36,TIBANGA,8.2402,124.241,2011,6,0,26.4,83.5,90.0,
37,TIPANOY,8.1902,124.2634,2011,6,0,26.4,83.5,90.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,6,0,26.4,83.5,90.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,6,0,26.4,83.5,90.0,
40,TUBOD,8.2117,124.241,2011,6,1,26.4,83.5,90.0,
41,UBALDO LAYA,8.224,124.2449,2011,6,0,26.4,83.5,90.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,6,0,26.4,83.5,90.0,
43,VILLA VERDE,8.2331,124.2437,2011,6,0,26.4,83.5,90.0,
0,ABUNO,8.1846,124.2571,2011,7,0,25.7,84.7,110.0,
1,ACMAC,8.274,124.2649,2011,7,0,25.7,84.7,110.0,
2,BAGONG SILANG,8.2418,124.252,2011,7,0,25.7,84.7,110.0,
3,BONBONON,8.2667,124.2902,2011,7,0,25.7,84.7,110.0,
4,BUNAWAN,8.3023,124.3028,2011,7,0,25.7,84.7,110.0,
5,BURU-UN,8.1872,124.1688,2011,7,1,25.7,84.7,110.0,
6,DALIPUGA,8.3074,124.255,2011,7,2,25.7,84.7,110.0,
7,DEL CARMEN,8.2322,124.2578,2011,7,0,25.7,84.7,110.0,
8,DIGKILAAN,8.2492,124.3178,2011,7,0,25.7,84.7,110.0,
9,DITUCALAN,8.1751,124.1927,2011,7,0,25.7,84.7,110.0,
10,DULAG,8.204,124.3694,2011,7,0,25.7,84.7,110.0,
11,HINAPLANON,8.2467,124.2592,2011,7,1,25.7,84.7,110.0,
12,HINDANG,8.3177,124.3457,2011,7,0,25.7,84.7,110.0,
13,KABACSANAN,8.2815,124.3088,2011,7,0,25.7,84.7,110.0,
14,KALILANGAN,8.1747,124.3863,2011,7,0,25.7,84.7,110.0,
15,KIWALAN,8.2801,124.2668,2011,7,0,25.7,84.7,110.0,
16,LANIPAO,8.2266,124.3412,2011,7,0,25.7,84.7,110.0,
17,LUINAB,8.2472,124.2681,2011,7,0,25.7,84.7,110.0,
18,MAHAYAHAY,8.2219,124.2406,2011,7,1,25.7,84.7,110.0,
19,MAINIT,8.2976,124.3876,2011,7,0,25.7,84.7,110.0,
20,MANDULOG,8.2442,124.3057,2011,7,0,25.7,84.7,110.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,7,0,25.7,84.7,110.0,
22,PALAO,8.2286,124.2532,2011,7,0,25.7,84.7,110.0,
23,PANOROGANAN,8.1743,124.425,2011,7,0,25.7,84.7,110.0,
24,POBLACION,8.2285,124.2344,2011,7,3,25.7,84.7,110.0,
25,PUGA-AN,8.2285,124.2742,2011,7,0,25.7,84.7,110.0,
26,ROGONGON,8.2395,124.4115,2011,7,0,25.7,84.7,110.0,
27,SAN MIGUEL,8.2387,124.2479,2011,7,1,25.7,84.7,110.0,
28,SAN ROQUE,8.2578,124.2619,2011,7,0,25.7,84.7,110.0,
29,SANTA ELENA,8.1948,124.2273,2011,7,0,25.7,84.7,110.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,7,0,25.7,84.7,110.0,
31,SANTIAGO,8.2511,124.2444,2011,7,0,25.7,84.7,110.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,7,0,25.7,84.7,110.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,7,0,25.7,84.7,110.0,
34,SUAREZ,8.1914,124.2173,2011,7,1,25.7,84.7,110.0,
35,TAMBACAN,8.2236,124.2347,2011,7,1,25.7,84.7,110.0,
36,TIBANGA,8.2402,124.241,2011,7,0,25.7,84.7,110.0,
37,TIPANOY,8.1902,124.2634,2011,7,0,25.7,84.7,110.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,7,0,25.7,84.7,110.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,7,0,25.7,84.7,110.0,
40,TUBOD,8.2117,124.241,2011,7,1,25.7,84.7,110.0,
41,UBALDO LAYA,8.224,124.2449,2011,7,1,25.7,84.7,110.0,
42,UPPER HINAPLANON,8.2559,124.2689,2011,7,0,25.7,84.7,110.0,
43,VILLA VERDE,8.2331,124.2437,2011,7,0,25.7,84.7,110.0,
0,ABUNO,8.1846,124.2571,2011,8,1,25.1,85.3,95.0,
1,ACMAC,8.274,124.2649,2011,8,0,25.1,85.3,95.0,
2,BAGONG SILANG,8.2418,124.252,2011,8,0,25.1,85.3,95.0,
3,BONBONON,8.2667,124.2902,2011,8,0,25.1,85.3,95.0,
4,BUNAWAN,8.3023,124.3028,2011,8,0,25.1,85.3,95.0,
5,BURU-UN,8.1872,124.1688,2011,8,2,25.1,85.3,95.0,
6,DALIPUGA,8.3074,124.255,2011,8,0,25.1,85.3,95.0,
7,DEL CARMEN,8.2322,124.2578,2011,8,0,25.1,85.3,95.0,
8,DIGKILAAN,8.2492,124.3178,2011,8,0,25.1,85.3,95.0,
9,DITUCALAN,8.1751,124.1927,2011,8,0,25.1,85.3,95.0,
10,DULAG,8.204,124.3694,2011,8,0,25.1,85.3,95.0,
11,HINAPLANON,8.2467,124.2592,2011,8,0,25.1,85.3,95.0,
12,HINDANG,8.3177,124.3457,2011,8,0,25.1,85.3,95.0,
13,KABACSANAN,8.2815,124.3088,2011,8,0,25.1,85.3,95.0,
14,KALILANGAN,8.1747,124.3863,2011,8,0,25.1,85.3,95.0,
15,KIWALAN,8.2801,124.2668,2011,8,0,25.1,85.3,95.0,
16,LANIPAO,8.2266,124.3412,2011,8,0,25.1,85.3,95.0,
17,LUINAB,8.2472,124.2681,2011,8,0,25.1,85.3,95.0,
18,MAHAYAHAY,8.2219,124.2406,2011,8,1,25.1,85.3,95.0,
19,MAINIT,8.2976,124.3876,2011,8,0,25.1,85.3,95.0,
20,MANDULOG,8.2442,124.3057,2011,8,0,25.1,85.3,95.0,
21,MARIA CRISTINA,8.1989,124.1936,2011,8,0,25.1,85.3,95.0,
22,PALAO,8.2286,124.2532,2011,8,0,25.1,85.3,95.0,
23,PANOROGANAN,8.1743,124.425,2011,8,0,25.1,85.3,95.0,
24,POBLACION,8.2285,124.2344,2011,8,2,25.1,85.3,95.0,
25,PUGA-AN,8.2285,124.2742,2011,8,1,25.1,85.3,95.0,
26,ROGONGON,8.2395,124.4115,2011,8,0,25.1,85.3,95.0,
27,SAN MIGUEL,8.2387,124.2479,2011,8,0,25.1,85.3,95.0,
28,SAN ROQUE,8.2578,124.2619,2011,8,0,25.1,85.3,95.0,
29,SANTA ELENA,8.1948,124.2273,2011,8,1,25.1,85.3,95.0,
30,SANTA FILOMENA,8.2681,124.2593,2011,8,0,25.1,85.3,95.0,
31,SANTIAGO,8.2511,124.2444,2011,8,2,25.1,85.3,95.0,
32,SANTO ROSARIO,8.2436,124.2525,2011,8,0,25.1,85.3,95.0,
33,SARAY-TIBANGA,8.2436,124.2525,2011,8,0,25.1,85.3,95.0,
34,SUAREZ,8.1914,124.2173,2011,8,0,25.1,85.3,95.0,
35,TAMBACAN,8.2236,124.2347,2011,8,2,25.1,85.3,95.0,
36,TIBANGA,8.2402,124.241,2011,8,1,25.1,85.3,95.0,
37,TIPANOY,8.1902,124.2634,2011,8,0,25.1,85.3,95.0,
38,TOMINOBO PROPER,8.2104,124.2221,2011,8,0,25.1,85.3,95.0,
39,TOMINOBO UPPER,8.1688,124.2251,2011,8,0,25.1,85.3,95.0,
